username,original_link,tweet_id,retweets,impressions,day,link,stance,notes
DrJBhattacharya,,1431768811590520833,749,0,2021-08-29 00:01:00+00:00,https://twitter.com/DrJBhattacharya/status/1431768811590520833,misleading,not relevant
DrJBhattacharya,,1589475548883222529,1078,0,2022-11-07 04:31:16+00:00,https://twitter.com/DrJBhattacharya/status/1589475548883222529,misleading,not relevant
carlheneghan,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620175395516743682,338,486049,2023-01-30 21:41:30+00:00,https://twitter.com/carlheneghan/status/1620175395516743682,misleading,
BallouxFrancois,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620265902133633025,778,721324,2023-01-31 03:41:08+00:00,https://twitter.com/BallouxFrancois/status/1620265902133633025,misleading,
CochraneLibrary,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620403272778489856,277,133256,2023-01-31 12:47:00+00:00,https://twitter.com/CochraneLibrary/status/1620403272778489856,neutral,
DrAseemMalhotra,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620334518757629955,469,162353,2023-01-31 08:13:48+00:00,https://twitter.com/DrAseemMalhotra/status/1620334518757629955,misleading,
DrEliDavid,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620434758290522112,1758,326940,2023-01-31 14:52:07+00:00,https://twitter.com/DrEliDavid/status/1620434758290522112,misleading,
goddeketal,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620245228602167299,5907,994368,2023-01-31 02:18:59+00:00,https://twitter.com/goddeketal/status/1620245228602167299,misleading,
healthbyjames,,1620248737783365637,603,59475,2023-01-31 02:32:56+00:00,https://twitter.com/healthbyjames/status/1620248737783365637,misleading,
healthbyjames,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620414306109227009,2641,329527,2023-01-31 13:30:51+00:00,https://twitter.com/healthbyjames/status/1620414306109227009,misleading,
holmenkollin,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620237967326609411,1633,271726,2023-01-31 01:50:08+00:00,https://twitter.com/holmenkollin/status/1620237967326609411,misleading,
john_bumblebee,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620325702141894659,235,33066,2023-01-31 07:38:46+00:00,https://twitter.com/john_bumblebee/status/1620325702141894659,misleading, 
stohr_klaus,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620523438682288128,678,82581,2023-01-31 20:44:30+00:00,https://twitter.com/stohr_klaus/status/1620523438682288128,misleading,
taipan168,,1620225909981851649,462,306092,2023-01-31 01:02:13+00:00,https://twitter.com/taipan168/status/1620225909981851649,misleading,
Awakend_Citizen,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620651974147592197,322,91571,2023-02-01 05:15:15+00:00,https://twitter.com/Awakend_Citizen/status/1620651974147592197,misleading,
MNHR_Labo,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620716473823170562,5480,1399622,2023-02-01 09:31:33+00:00,https://twitter.com/MNHR_Labo/status/1620716473823170562,misleading,
NBCMontana,https://nbcmontana.com/news/nation-world/study-finds-mask-wearing-likely-makes-little-or-no-difference-regarding-flu-transmission-covid-coronavirus-masking-mandate-health-respiratory-virus,1620886078352670720,451,66413,2023-02-01 20:45:30+00:00,https://twitter.com/NBCMontana/status/1620886078352670720,misleading,
PrisonPlanet,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1620926136875364359,227,53102,2023-02-01 23:24:41+00:00,https://twitter.com/PrisonPlanet/status/1620926136875364359,misleading,
RWMaloneMD,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620833978164060162,2221,339824,2023-02-01 17:18:28+00:00,https://twitter.com/RWMaloneMD/status/1620833978164060162,misleading,
deepakdeepak,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620693994505400321,319,51853,2023-02-01 08:02:13+00:00,https://twitter.com/deepakdeepak/status/1620693994505400321,misleading,
dramayraoficial,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620849270034427904,331,34262,2023-02-01 18:19:14+00:00,https://twitter.com/dramayraoficial/status/1620849270034427904,misleading,
georgrestle,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1620786268073496576,610,471321,2023-02-01 14:08:53+00:00,https://twitter.com/georgrestle/status/1620786268073496576,nuanced_accurate,
zerohedge,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1620916187432452096,378,118583,2023-02-01 22:45:08+00:00,https://twitter.com/zerohedge/status/1620916187432452096,misleading,
0waki,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621125660700971008,511,146123,2023-02-02 12:37:31+00:00,https://twitter.com/0waki/status/1621125660700971008,misleading,
BjornLomborg,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621165555486187523,288,70444,2023-02-02 15:16:02+00:00,https://twitter.com/BjornLomborg/status/1621165555486187523,misleading,
BretWeinstein,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1621202578267865090,476,402210,2023-02-02 17:43:09+00:00,https://twitter.com/BretWeinstein/status/1621202578267865090,misleading,
ChanceGardi,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1621109443902537729,201,8896,2023-02-02 11:33:04+00:00,https://twitter.com/ChanceGardi/status/1621109443902537729,misleading,
DC_Draino,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1621230914700181506,2771,168483,2023-02-02 19:35:45+00:00,https://twitter.com/DC_Draino/status/1621230914700181506,misleading,
GregoryPamart,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621056463019053057,228,14438,2023-02-02 08:02:33+00:00,https://twitter.com/GregoryPamart/status/1621056463019053057,misleading,
JeanneNoble18,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1621180275551272961,225,67861,2023-02-02 16:14:32+00:00,https://twitter.com/JeanneNoble18/status/1621180275551272961,misleading,
MailOnline,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,1621229228397150208,449,155821,2023-02-02 19:29:03+00:00,https://twitter.com/MailOnline/status/1621229228397150208,misleading,
MichaelPSenger,https://www.zerohedge.com/political/massive-mask-study-shows-little-no-difference-preventing-covid-flu-infection,1620992293565259776,7962,1073692,2023-02-02 03:47:34+00:00,https://twitter.com/MichaelPSenger/status/1620992293565259776,misleading,
