day,link,name,interactions,stance
2023-01-31 11:00:21,https://www.facebook.com/716555961791942/posts/5783770965070391,Tichys Einblick,1427,misleading
2023-02-01 7:05:26,https://www.facebook.com/13479664941/posts/10162555991779942,JUNGE FREIHEIT,683,misleading
2023-02-01 13:19:42,https://www.facebook.com/969753549706725/posts/6574512185897472,AfD-Fraktion im Thüringer Landtag,160,misleading
2023-02-01 14:13:48,https://www.facebook.com/310525018002/posts/10159561839628003,Cicero,382,misleading
2023-02-01 14:30:02,https://www.facebook.com/1509620576000837/posts/3028470587449154,"Martin Sichert, MdB",1882,misleading
2023-02-01 16:58:52,https://www.facebook.com/1063894523641714/posts/6247567195274395,Katrin Ebner-Steiner,1482,misleading
2023-02-01 19:31:17,https://www.facebook.com/451235565433448/posts/1293844787839184,Joachim Kuhs,328,misleading
2023-02-01 20:45:01,https://www.facebook.com/166203150057757/posts/6219365754741436,NBC Montana,132,misleading
2023-02-01 22:24:59,https://www.facebook.com/1768389776780335/posts/3400541450231818,AfD Südliche Weinstraße - Landau in der Pfalz,117,misleading
2023-02-02 3:47:08,https://www.facebook.com/100044538125175/posts/741679580659973,Larry Elder,293,misleading
2023-02-02 11:56:31,https://www.facebook.com/100063479123912/posts/650270677098897,Gript,281,misleading
2023-02-02 21:41:15,https://www.facebook.com/nenad.bakic/posts/10160332323119556,Nenad Bakic,426,misleading
2023-02-03 5:54:42,https://www.facebook.com/137267732953826/posts/9419853128028527,Berliner Zeitung,99,nuanced_accurate
2023-02-03 8:44:52,https://www.facebook.com/nenad.bakic/posts/10160333243634556,Nenad Bakic,457,misleading
2023-02-03 9:17:31,https://www.facebook.com/1708676965914877/posts/5965526393563225,Dr. Martin Vincentz,102,misleading
2023-02-03 9:17:45,https://www.facebook.com/1708676965914877/posts/5965526983563166,Dr. Martin Vincentz,517,misleading
2023-02-03 13:00:03,https://www.facebook.com/40656699159/posts/10160109900669160,Washington Examiner,175,misleading
2023-02-03 14:45:13,https://www.facebook.com/113695686489/posts/10161128356336490,Spektrum der Wissenschaft,162,nuanced_accurate
